Restaurant_name,Polarity
['ALLI Mexican Cuisine'],0.33419388153879004
['ATX Cocina'],0.35346794324880365
"[""Aguilera's Mexican Restaurant""]",0.24885037228019452
['Airport Xpress Market'],0.24144660894660896
['Always Hungry'],0.3661328826402356
"[""Amaya's Taco Village""]",0.2376665439441845
['Amorcito Taqueria 2'],0.3083333333333333
['Angelitos Tacos'],0.1747420634920635
"[""Angie's Mexican Restaurant""]",0.20736838462997362
['Antojitos La Huastequita'],0.2634375
['Aparicios'],0.28968223492588074
['Arturos taco truck'],0.23590317566420507
['Asadas Grill'],0.25714109100411
['Asador'],0.05954475308641976
['Asador'],0.31786115761109784
['Austin Taco Project'],0.29096912206175524
['Autenticos Michoacanos'],0.30598705990843084
['Azul Tequila'],0.2553969188570859
['Azul Tequila'],0.2622829192673968
['BIG Frank’s Taco Food Truck'],0.3303125300625301
['Baby Acapulco'],0.3296557137533644
['Baby Acapulco'],0.1935949500429702
['Baby Acapulco'],0.21527568819149154
['Bennu Coffee'],0.24447523493974857
"[""Beto's Mexican Restaurant""]",0.30596769361384984
"[""Beto's Mexican Restaurant""]",0.2340220167644955
['Beto’s Restaurant & Bar'],0.19366669141272264
['Big Boss Foods'],0.260297619047619
['Big Delicious Food'],0.542962962962963
['Birria Queen '],0.23705357142857142
['Birrieria Lopez Cabrera'],0.36079004329004327
['Blue Gecko'],0.19801767676767676
['Bomb Tacos'],0.15979514654080335
['Bongos Authentic Mexican Food'],0.4050000000000001
['Brazas Taco House'],0.3686019074810858
['Brendas All Natural'],0.40625
"[""Buddy's Mexican Grill""]",0.24845030179042074
['Buenos Sabores'],0.36550168263880956
['Bulevar'],0.350233667218344
['Bummer Burrito'],0.35253022281431373
['Burrito Factory'],0.32897771962821554
['Burrito Mexicano'],0.4459393939393939
['CJ’s Tacos'],0.4360159549192868
"[""Cabo Bob's Burritos""]",0.3296696988640709
"[""Cabo Bob's Burritos""]",0.27307629319199606
"[""Cabo Bob's Burritos""]",0.2882039296166418
['Calle Taqueria'],0.12403302177352421
['Capital Taco'],0.31092178136146464
['Carnitas el Guero'],0.28728180045529184
['Casa Chapala Mexican Cuisine & Tequila Bar'],0.31033435825069333
['Casa Jaliscienses'],0.046861962537249904
['Casa Jaliscienses'],0.17815734989648033
['Casa Maria'],0.2751544185066559
"[""Casa Moreno's""]",0.20404066459414463
['Casa Vallarta'],0.2564522113516952
['Casita Guanajuato'],0.19780487727234336
['Casita Vizuet'],0.27519841269841266
['Chapulín Cantina'],0.29278980726488546
['Cheko’s'],0.27264350420457223
['Chevron'],0.4033333333333333
['Chicanas Tacos'],0.19508594846302668
['Chicken Bowl'],0.2764724874419935
['Chilangos'],0.24
['Chipotle Mexican Grill'],0.1406430226336251
['Chipotle Mexican Grill'],0.07083879901738079
['Chipotle Mexican Grill'],0.04515200586084598
['Chipotle Mexican Grill'],0.09521693370315625
['Chipotle Mexican Grill'],0.14639587854901534
['Chipotle Mexican Grill'],-0.14467027989647038
['Chipotle Mexican Grill'],0.1271786307534985
['Chipotle Mexican Grill'],0.008000320497589105
['Chipotle Mexican Grill'],0.14029244757667378
['Chipotle Mexican Grill'],0.05524681457829321
['Chipotle Mexican Grill'],0.1286820027418767
['Chipotle Mexican Grill'],0.08501474969353259
['Chupacabra Cantina Y Tacqueria'],0.22971285415718687
"[""Chuy's""]",0.25343644990988345
"[""Chuy's""]",0.2809234675602054
"[""Chuy's""]",0.274498084015372
"[""Cilantro's""]",0.3089579372834693
"[""Cisco's Restaurant Bakery & Bar""]",0.28365600560223353
['Comedor'],0.3296249849644299
['Como dijo la Abuela pancha'],0.1388888888888889
['Con Madre Kitchen'],0.3169669096243573
['Con Todo'],0.4334418665358106
['Cosmic Taco'],0.4391791307650682
['Costa Del Sol Restaurant'],0.279968580581058
['Crazy Fruits Riverside'],0.17818432203640974
['Cuantos Tacos'],0.32867788411616833
"[""Curra's Grill""]",0.2501480584002017
['Curra’s Hyde Park'],0.30549995277969155
"[""Dave's Tacos""]",0.32581973369154255
"[""Daygo's San Diego Taco Shop""]",0.3735102487964883
['Daygos San Diego Taco Shop'],0.34917051155090373
['De La O Kitchen'],0.34390688676402964
['De Nada Cantina'],0.3541634667014441
['Delicios Luvianos'],0.12458333333333332
['Delicious Tamales'],0.19863425925925923
['Discada'],0.32746791460364844
['Don Juan'],0.3205032240143557
['Donut 7'],0.3777992840171611
['Donut Taco Palace'],0.2436774901555342
['Dos Amigos Mexican Food'],0.32595001810867197
['Dos Batos'],0.2685966623199099
['Dos Salsas'],0.2865851061774402
['Eighteenth Over Austin'],0.2617090188348067
['El Agazajo’s'],0.35440030793462163
['El Alma'],0.34397784829154654
['El Arroyo 5th Street'],0.15359914044684747
['El Borrego De Oro'],0.2876148870721223
['El Buen Sazon Michoacano'],0.0724489795918368
['El Caribe Mexican Restaurant'],0.2140254127623695
